Pressure,langle,wangle,stroke,wsize,distance,lsize,margin,Target
117,57.07089862,75.59542675,33,64363,88,16975,0,Conscientiousness 
157,140.8208759,129.6674445,21,63904,52,31169,43,Conscientiousness 
116,121.1520287,112.310242,41,45413,89,13028,0,Conscientiousness 
152,-71.33917449,-10.70951769,37,66521,46,14197,62,Conscientiousness 
123,177.1836884,174.9648007,44,60937,105,22050,28,Conscientiousness 
133,160.9104926,140.5943217,32,82066,62,23972,19,Conscientiousness 
123,179.4925434,143.1905493,28,56400,165,27750,0,Conscientiousness 
149,175.5012414,164.1116874,33,83210,34,28697,22,Conscientiousness 
122,157.0580145,139.1958316,23,48027,122,32582,0,Conscientiousness 
148,-161.6445452,-105.207975,23,81366,30,39590,66,Conscientiousness 
127,164.3093807,173.0352406,100,59676,45,31392,0,Conscientiousness 
163,170.3557557,167.0064738,13,74481,48,47473,13,Conscientiousness 
123,168.8092181,123.8665761,10,53411,117,37821,0,Conscientiousness 
168,-175.5297872,-88.19734225,3,86476,45,60485,140,Conscientiousness 
120,56.60242688,87.78596453,40,65464,93,16971,0,Conscientiousness 
158,20.47039133,47.81946454,23,61148,51,26792,31,Conscientiousness 
121,-12.86205188,53.77978502,48,52405,89,19055,0,Conscientiousness 
127,170.0480858,134.8000236,39,81671,34,28781,0,Conscientiousness 
132,-177.7141505,-119.4284454,28,59574,97,23245,74,Conscientiousness 
135,11.77952377,23.69879944,30,82217,51,29494,56,Conscientiousness 
178,166.2282649,151.3890274,34,63799,39,14249,67,Conscientiousness 
138,176.1796406,95.32549443,54,36189,80,8276,34,Extraversion 
148,-40.11094582,44.68073812,25,65039,57,26499,46,Extraversion 
133,90.19458772,98.67170919,27,26224,64,8425,147,Extraversion 
138,79.33063396,96.64214751,36,67685,53,23688,54,Extraversion 
160,-177.4196916,-99.20558743,56,69856,82,18546,148,Extraversion 
173,24.82550924,18.57537242,21,87079,61,40006,67,Extraversion 
140,172.9224179,148.0519422,51,68849,57,22289,72,Extraversion 
139,174.9710498,171.208949,0,75090,47,59098,35,Extraversion 
180,-167.3890599,-117.0572875,42,45804,83,12317,103,Extraversion 
162,146.4321786,62.45237157,44,85329,55,15222,47,Extraversion 
159,-176.2257494,-173.0290317,40,59886,51,28512,57,Neuroticism 
156,-93.42807194,-92.13540677,31,78622,43,31122,0,Neuroticism 
124,171.343873,149.1774961,30,51756,94,20269,0,Neuroticism 
152,175.6304985,147.9347034,28,57385,52,15812,32,Neuroticism 
140,176.0648351,175.1569971,57,71555,66,30062,18,Neuroticism 
125,70.09358625,92.91442276,29,68610,57,26297,28,Neuroticism 
123,-166.9331632,-155.8711422,49,66891,208,20105,0,Neuroticism 
166,-56.5306828,6.68824501,20,66601,54,27666,32,Neuroticism 
129,174.2011337,162.5794678,42,55264,117,25160,0,Neuroticism 
151,171.5221488,127.5094138,43,77511,35,22778,35,Neuroticism 
136,171.9642194,172.2062525,60,66091,72,24438,87,Neuroticism 
140,141.1560333,133.666698,40,76399,44,19808,18,Neuroticism 
132,173.5320485,172.5176056,39,65346,100,34296,50,Neuroticism 
140,179.0618264,149.9604715,29,85068,53,30844,28,Neuroticism 
116,178.0619547,167.0824648,45,32832,66,7255,69,Neuroticism 
136,174.1177071,161.7958023,35,56993,39,8595,28,Neuroticism 
119,176.4445396,173.9759905,27,60262,166,28165,0,Neuroticism 
162,174.3908107,166.7803776,20,63553,63,29758,80,Neuroticism 
134,150.0986247,125.4528618,38,75418,39,13241,15,Neuroticism 
117,171.3818321,168.8184519,63,75000,46,26155,106,Neuroticism 
138,175.8212302,175.9263884,26,94644,54,51343,181,Neuroticism 
151,176.4154745,151.6329707,34,55568,45,13905,0,Neuroticism 
132,84.3940248,80.66907407,26,54157,80,33189,10,Neuroticism 
152,90.51757938,63.94421273,40,68770,66,16264,39,Neuroticism 
123,94.64948919,137.5143031,27,66662,121,26895,0,Neuroticism 
148,-13.57113519,40.83863655,39,83431,59,22031,35,Neuroticism 
124,175.7123496,93.09552075,51,60355,103,18766,21,Neuroticism 
124,-24.99949193,36.20690765,21,70228,44,38680,24,Neuroticism 
124,175.1491695,168.4041109,36,58925,92,17107,15,Neuroticism 
139,168.8165563,159.5536788,30,50927,58,11489,0,Neuroticism 
190,129.1705058,144.159005,49,64282,43,35141,105,Neuroticism 
189,-166.3245034,-167.3580357,40,56158,70,16752,108,Neuroticism 
196,-89.62860426,2.483204809,19,63393,105,30341,2,Neuroticism 
173,-162.9095504,-169.4788397,28,64388,144,28784,3,Neuroticism 
170,-158.9660241,-161.6928109,39,56029,77,19634,62,Neuroticism 
184,-156.6849087,-53.82246163,15,106175,47,59744,22,Neuroticism 
175,-163.4420773,-156.8544109,7,22282,43,11168,72,Neuroticism 
190,-16.76704996,28.2580315,25,67695,40,27636,55,Neuroticism 
175,-167.7629717,-152.1519073,42,71578,83,21833,113,Neuroticism 
195,17.92278019,98.30692182,18,69639,53,30165,53,Neuroticism 
154,-161.0790072,-161.3492646,53,67091,114,11741,3,Neuroticism 
171,-167.5744188,-122.581475,37,79301,43,15606,51,Neuroticism 
164,-146.2294639,-116.5914536,50,70662,71,15588,53,Neuroticism 
198,175.6333624,148.0974122,26,85454,38,36367,76,Neuroticism 
120,172.7319599,164.3033629,37,67681,52,24278,93,Openness
136,22.17216813,3.535101189,32,62812,46,17212,49,Openness
117,70.96528824,56.88917697,25,55949,112,30039,0,Openness
139,173.4939086,169.515361,34,62442,69,17090,8,Openness
114,-85.75988206,-87.09220722,48,51801,135,14659,0,Openness
130,-177.3454277,-144.5777438,35,47039,54,10640,41,Openness
118,178.9490535,149.7863637,36,53183,100,18172,84,Openness
140,159.4894513,107.7589889,26,57576,50,19312,119,Openness
114,176.90307,169.5228917,41,62947,77,19179,66,Openness
128,170.1603761,117.3323622,34,37709,46,6321,17,Openness
115,81.06207312,90.72815523,47,49496,106,22028,0,Openness
145,-38.32105193,-38.84931888,33,64563,63,23436,0,Openness
131,147.3587244,126.3156004,32,53516,53,9354,48,Openness
122,-156.6415544,-97.80272986,39,68716,94,25007,0,Openness
145,174.0985464,127.1571947,36,70993,52,22223,8,Openness
116,16.47078702,44.16101783,33,54921,115,18743,123,Openness
132,131.4944676,129.7161132,23,54302,57,17707,87,Openness
136,17.00741378,12.02380503,35,55782,116,16951,149,Openness
126,153.9180952,159.5362799,32,51788,54,8584,105,Openness
126,35.60959863,85.55617517,38,63493,62,17309,42,Openness
132,24.28863827,48.66003098,27,59497,41,17526,131,Openness
